Post1,Post2,Sim
B0010,B0089,0.005686174673080626
B0109,B0111,0.005538217962765851
B0067,B0118,0.004959290533548991
B0133,B0143,0.00477949238592163
B0017,B0023,0.004591352874124369
B0044,B0088,0.004587762701896413
B0039,B0045,0.004547471269926417
B0025,B0026,0.004385515564781192
B0064,B0088,0.003956566413541202
B0088,B0111,0.003901929733268966
B0047,B0123,0.0036716345886737504
B0049,B0074,0.003655159796395711
B0039,B0114,0.0033269092694750498
B0031,B0045,0.003293486219886444
B0034,B0140,0.0031741300299861935
B0031,B0039,0.0030595798348011906
B0005,B0008,0.003048698744826892
B0121,B0132,0.00301382818874241
B0061,B0137,0.0029444188982372292
B0045,B0114,0.00289265568766669
B0000,B0102,0.0027828987259181587
B0015,B0023,0.0027731272185589316
B0015,B0017,0.0026920223113006516
B0045,B0100,0.002626206161079132
B0020,B0139,0.0026235288686096516
B0077,B0142,0.0025231217283270164
B0039,B0100,0.002514469762705446
B0109,B0123,0.002475110871857841
B0016,B0023,0.0024530002250079588
B0064,B0111,0.002448205244689307
B0044,B0119,0.002439769020720548
B0017,B0018,0.0024225804112521085
B0117,B0134,0.0024151794964758326
B0069,B0088,0.0023641281396168724
B0026,B0123,0.00234495567484842
B0012,B0089,0.0022947612816931104
B0031,B0114,0.0022885207950114677
B0016,B0017,0.0022790162861854642
B0121,B0129,0.002208149330996491
B0018,B0094,0.0021620779503373926
B0088,B0109,0.0021289811465734533
B0047,B0049,0.0021189267114478227
B0010,B0012,0.00210995914127523
B0018,B0021,0.002090772877911193
B0015,B0016,0.0020835481490971237
B0083,B0139,0.002046014905261203
B0109,B0121,0.002028032803206595
B0096,B0123,0.002018930295279587
B0044,B0125,0.0020071704408571064
B0007,B0058,0.00200303645323377
